NAME,AGE,SEX,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
Germany,0 - 9,0,7001800,6920792,6869880,6837017,6816499
Germany,10 - 19,0,8200795,8035438,7903655,7785299,7692936
Germany,20 - 29,0,9805815,9775862,9704489,9623141,9533094
Germany,30 - 39,0,9847377,9667066,9561350,9558759,9593333
Germany,40 - 49,0,13873921,13663441,13340615,12873879,12330871
Germany,50 - 59,0,11608219,11844715,12107746,12398205,12704767
Germany,60 - 69,0,9154411,9030651,9038175,9136538,9245069
Germany,70 - 79,0,7939740,8227685,8408632,8509257,8546737
Germany,80 - 89,0,3625505,3655342,3665978,3679128,3754381
Germany,90 - 99,0,586871,650842,705336,746042,778998
Germany,999,0,81644454,81471834,81305856,81147265,80996685
Uruguay,0 - 9,0,476100,469176,462381,455990,450280
Uruguay,10 - 19,0,535537,532819,530852,527655,522748
Uruguay,20 - 29,0,481403,484285,487305,492791,501859
Uruguay,30 - 39,0,452003,455199,456830,456366,453055
Uruguay,40 - 49,0,400442,400489,401345,403286,406418
Uruguay,50 - 59,0,359498,365610,371323,376089,379546
Uruguay,60 - 69,0,273498,276203,279290,282935,287246
Uruguay,70 - 79,0,202850,202127,201694,201657,202088
Uruguay,80 - 89,0,103220,105333,107152,108598,109643
Uruguay,90 - 99,0,16525,17294,18156,19093,20089
Uruguay,999,0,3301076,3308535,3316328,3324460,3332972
Japan,0 - 9,0,11387631,11275515,11170456,11069726,10971195
Japan,10 - 19,0,12292712,12262198,12208344,12156065,12069702
Japan,20 - 29,0,14055127,13726006,13442431,13143784,12864919
Japan,30 - 39,0,17859626,17495965,17064524,16596282,16134913
Japan,40 - 49,0,16431088,16750325,17121494,17495102,17814507
Japan,50 - 59,0,16532823,16020781,15648573,15427011,15352424
Japan,60 - 69,0,18188500,18389089,18404158,18353358,18182570
Japan,70 - 79,0,12745039,13062996,13406668,13699544,14011113
Japan,80 - 89,0,6673045,6979095,7294129,7594211,7861815
Japan,90 - 99,0,1413554,1507573,1607311,1717992,1840230
Japan,999,0,127579145,127469543,127368088,127253075,127103388
Mexico,0 - 9,0,22482777,22470683,22456249,22443721,22431593
Mexico,10 - 19,0,22063931,22141071,22199562,22223976,22226025
Mexico,20 - 29,0,19789344,20098667,20373952,20602929,20792193
Mexico,30 - 39,0,17032163,17217439,17381071,17522482,17663574
Mexico,40 - 49,0,13467560,13816204,14175176,14537259,14891883
Mexico,50 - 59,0,9159465,9556977,9964452,10369008,10762013
Mexico,60 - 69,0,5579125,5742877,5915578,6103465,6317052
Mexico,70 - 79,0,3188044,3301256,3416554,3533975,3652002
Mexico,80 - 89,0,1156703,1208713,1263357,1320773,1380638
Mexico,90 - 99,0,142328,147230,153204,160640,169682
Mexico,999,0,114061440,115701117,117299155,118818228,120286655
Peru,0 - 9,0,5528167,5515464,5504082,5494223,5486179
Peru,10 - 19,0,5861398,5823742,5774473,5713819,5642150
Peru,20 - 29,0,5008976,5089811,5180931,5280804,5388954
Peru,30 - 39,0,4187206,4222953,4255397,4284547,4310542
Peru,40 - 49,0,3338753,3405603,3469441,3531484,3591900
Peru,50 - 59,0,2375760,2450322,2526082,2602636,2679639
Peru,60 - 69,0,1515028,1564690,1618892,1677310,1738975
Peru,70 - 79,0,861024,889158,916518,943388,970391
Peru,80 - 89,0,251429,265535,280449,296089,312270
Peru,90 - 99,0,20232,21665,23252,25003,26935
Peru,999,0,28947973,29248943,29549517,29849303,30147935